distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
srm_residual,stego,HUGO,0.1,0.5,0.7971114523174887,0.02592064895629883,1.5942229046349774
srm_residual,stego,HUGO,0.2,0.01,0.022519790876286114,0.0830613887829073,2.2519790876286114
srm_residual,stego,HUGO,0.2,0.05,0.1091816171616561,0.08039370565346761,2.1836323432331217
srm_residual,stego,HUGO,0.2,0.1,0.2101282402688944,0.07719662775616085,2.101282402688944
srm_residual,stego,HUGO,0.2,0.2,0.3886155090987605,0.07105450800129699,1.9430775454938025
srm_residual,stego,HUGO,0.2,0.3,0.5383184743507234,0.06530804140228628,1.7943949145024116
srm_residual,stego,HUGO,0.2,0.4,0.6622325207216246,0.05997803314959278,1.6555813018040615
srm_residual,stego,HUGO,0.2,0.5,0.7631168160193758,0.055052683258056644,1.5262336320387515
srm_residual,stego,HUGO,0.3,0.01,0.020401791803764398,0.1201980923311713,2.0401791803764397
srm_residual,stego,HUGO,0.3,0.05,0.099558654702341,0.11715759517814908,1.99117309404682
srm_residual,stego,HUGO,0.3,0.1,0.1930178650736481,0.11340889982452125,1.9301786507364809
srm_residual,stego,HUGO,0.3,0.2,0.36218739030994157,0.10607085010204277,1.8109369515497078
srm_residual,stego,HUGO,0.3,0.3,0.5084866616801179,0.09894172145009728,1.6949555389337265
srm_residual,stego,HUGO,0.3,0.4,0.6332097740495223,0.09208310858494345,1.5830244351238056
srm_residual,stego,HUGO,0.3,0.5,0.7377082688415795,0.0855233268737793,1.475416537683159
srm_residual,stego,HUGO,0.4,0.01,0.018879550217832473,0.15600270888973672,1.8879550217832473
